Time (s),Voltage (V)
0.0,0.06
2e-06,-0.06
4e-06,-0.04
6e-06,0.06
8e-06,0.04
9.999999999999999e-06,-0.06
1.2e-05,-0.06
1.4e-05,0.06
1.6e-05,0.06
1.8e-05,-0.06
1.9999999999999998e-05,-0.06
2.2e-05,0.06
2.4e-05,0.06
2.6e-05,-0.06
2.8e-05,0.04
2.9999999999999997e-05,-0.06
3.2e-05,0.04
3.4e-05,-0.06
3.6e-05,-0.06
3.7999999999999995e-05,0.06
3.9999999999999996e-05,0.04
4.2e-05,-0.06
4.4e-05,-0.04
4.6e-05,0.06
4.8e-05,0.06
4.9999999999999996e-05,-0.06
5.2e-05,0.06
5.4e-05,-0.06
5.6e-05,0.04
5.8e-05,-0.06
5.9999999999999995e-05,-0.04
6.2e-05,0.06
6.4e-05,0.04
6.599999999999999e-05,-0.06
6.8e-05,-0.06
7e-05,0.04
7.2e-05,0.04
7.4e-05,-0.06
7.599999999999999e-05,-0.06
7.8e-05,0.06
7.999999999999999e-05,0.04
8.2e-05,-0.06
8.4e-05,-0.06
8.599999999999999e-05,0.04
8.8e-05,0.04
8.999999999999999e-05,-0.06
9.2e-05,0.04
9.4e-05,-0.06
9.6e-05,-0.06
9.8e-05,0.04
9.999999999999999e-05,0.04
0.000102,-0.06
0.000104,-0.04
0.000106,0.06
0.000108,-0.06
0.00010999999999999999,0.04
0.000112,0.04
0.00011399999999999999,-0.06
0.000116,0.04
0.000118,-0.06
0.00011999999999999999,-0.06
0.000122,0.04
0.000124,-0.06
0.000126,0.06
0.000128,0.06
0.00013,-0.06
0.00013199999999999998,0.04
0.000134,-0.06
0.000136,-0.06
0.000138,0.06
0.00014,-0.06
0.00014199999999999998,0.06
0.000144,-0.06
0.000146,0.04
0.000148,0.06
0.00015,-0.06
0.00015199999999999998,-0.06
0.000154,0.06
0.000156,0.06
0.000158,-0.06
0.00015999999999999999,-0.06
0.00016199999999999998,0.06
0.000164,0.04
0.000166,-0.06
0.000168,-0.04
0.00016999999999999999,0.02
0.00017199999999999998,-0.06
0.000174,0.04
0.000176,0.04
0.000178,-0.06
0.00017999999999999998,-0.06
0.00018199999999999998,0.06
0.000184,0.04
0.000186,-0.06
0.000188,0.04
0.00018999999999999998,-0.06
0.000192,0.04
0.000194,-0.06
0.000196,-0.06
0.000198,1.46
0.00019999999999999998,1.48
0.000202,2.8000000000000003
0.000204,2.74
0.000206,2.96
0.000208,2.88
0.00020999999999999998,2.98
0.000212,2.98
0.000214,2.9
0.000216,2.9
0.00021799999999999999,3.0
0.00021999999999999998,2.9
0.000222,3.0
0.000224,2.9
0.000226,3.0
0.00022799999999999999,2.9
0.00022999999999999998,3.0
0.000232,2.9
0.000234,3.0
0.000236,2.9
0.00023799999999999998,3.0
0.00023999999999999998,3.0
0.000242,2.9
0.000244,2.9
0.00024599999999999996,3.0
0.000248,3.0
0.00025,2.9
0.000252,2.9
0.000254,3.0
0.000256,2.9
0.000258,3.0
0.00026,2.9
0.00026199999999999997,3.0
0.00026399999999999997,2.9
0.000266,3.0
0.000268,2.9
0.00027,3.0
0.000272,2.9
0.000274,3.0
0.000276,2.9
0.000278,3.0
0.00028,2.9
0.00028199999999999997,3.0
0.00028399999999999996,3.0
0.000286,2.9
0.000288,2.9
0.00029,3.0
0.000292,2.9
0.000294,3.0
0.000296,2.9
0.000298,3.0
0.0003,3.0
0.00030199999999999997,2.9
0.00030399999999999996,2.9
0.000306,3.0
0.000308,2.9
0.00031,3.0
0.000312,2.9
0.000314,3.0
0.000316,2.9
0.000318,3.0
0.00031999999999999997,2.9
0.00032199999999999997,3.0
0.00032399999999999996,2.9
0.000326,3.0
0.000328,3.0
0.00033,2.9
0.000332,2.9
0.000334,3.0
0.000336,3.0
0.000338,2.9
0.00033999999999999997,2.9
0.00034199999999999996,3.0
0.00034399999999999996,2.9
0.000346,3.0
0.000348,3.0
0.00035,2.9
0.000352,3.0
0.000354,2.9
0.000356,2.9
0.000358,3.0
0.00035999999999999997,2.9
0.00036199999999999996,3.0
0.00036399999999999996,2.9
0.000366,3.0
0.000368,2.9
0.00037,3.0
0.000372,2.9
0.000374,2.98
0.000376,2.9
0.00037799999999999997,3.0
0.00037999999999999997,2.9
0.00038199999999999996,3.0
0.000384,2.98
0.000386,2.9
0.000388,2.9
0.00039,3.0
0.000392,2.88
0.000394,2.98
0.000396,2.9
0.00039799999999999997,2.98
0.00039999999999999996,2.9
0.00040199999999999996,3.0
0.000404,2.9
0.000406,2.98
0.000408,2.9
0.00041,3.0
0.000412,3.0
0.000414,2.9
0.000416,2.9
0.00041799999999999997,3.0
0.00041999999999999996,2.9
0.00042199999999999996,3.0
0.000424,2.9
0.000426,3.0
0.000428,3.0
0.00043,2.9
0.000432,2.9
0.000434,3.0
0.00043599999999999997,2.9
0.00043799999999999997,3.0
0.00043999999999999996,2.9
0.00044199999999999996,3.0
0.000444,2.9
0.000446,3.0
0.000448,2.9
0.00045,3.0
0.000452,2.9
0.000454,3.0
0.00045599999999999997,2.98
0.00045799999999999997,2.9
0.00045999999999999996,3.0
0.00046199999999999995,2.9
0.000464,2.9
0.000466,3.0
0.000468,2.9
0.00047,3.0
0.000472,2.9
0.000474,3.0
0.00047599999999999997,2.9
0.00047799999999999996,3.0
0.00047999999999999996,2.9
0.00048199999999999995,3.0
0.000484,2.9
0.000486,3.0
0.000488,3.0
0.00049,2.9
0.0004919999999999999,2.9
0.000494,3.0
0.000496,2.9
0.000498,3.0
0.0005,2.9
0.000502,3.0
0.000504,2.9
0.0005059999999999999,2.98
0.000508,2.9
